feature,total_gain,gain_fraction
Fwd Packet Length Max,202135.53125,0.40270866691716184
Total Length of Fwd Packets,157947.171875,0.3146734996849649
Bwd Packet Length Std,70922.6640625,0.14129713525475535
Bwd Header Length,33451.9296875,0.06664529450588492
act_data_pkt_fwd,26692.87890625,0.053179436658379015
Init_Win_bytes_forward,4220.60107421875,0.008408579242239353
Destination Port,2664.96533203125,0.005309331959631696
Fwd Packet Length Mean,1458.4383544921875,0.0029056037891329804
Flow IAT Min,373.64892578125,0.0007444097525352646
Average Packet Size,334.6319274902344,0.0006666773357171101
Init_Win_bytes_backward,273.90478515625,0.0005456924381893154
FIN Flag Count,249.99740600585938,0.0004980624706739583
Bwd Packet Length Mean,237.50123596191406,0.00047316671905202573
Bwd Packets/s,178.9429931640625,0.00035650285620562525
Fwd IAT Min,113.78881072998047,0.00022669809704304363
Fwd IAT Total,86.40757751464844,0.0001721472723636528
Flow IAT Std,82.1594009399414,0.00016368375526376646
Fwd IAT Mean,73.31434631347656,0.00014606201337897287
Fwd IAT Std,64.97283935546875,0.00012944347468680736
Flow Bytes/s,50.904544830322266,0.0001014156257530502
Fwd Packets/s,45.27305221557617,9.019616883909786e-05
ACK Flag Count,36.596435546875,7.291000093780824e-05
Idle Min,36.21574783325195,7.215156801551675e-05
Bwd Packet Length Min,30.644397735595703,6.105193126743292e-05
Flow Duration,28.800689697265625,5.737876603166806e-05
Fwd Header Length,23.227231979370117,4.627493033384159e-05
Flow IAT Max,21.549692153930664,4.2932817135704046e-05
Fwd IAT Max,18.099754333496094,3.605960760137431e-05
Idle Max,18.006526947021484,3.587387342443277e-05
Flow IAT Mean,15.480825424194336,3.084199265117873e-05
Bwd Packet Length Max,15.44055461883545,3.0761762311458294e-05
Bwd IAT Std,9.201933860778809,1.8332741874811417e-05
Idle Mean,6.4732160568237305,1.2896397742592578e-05
Packet Length Std,3.1662917137145996,6.308109748027599e-06
Fwd Packet Length Std,2.7537901401519775,5.486295009355151e-06
Bwd IAT Total,2.4951438903808594,4.971001701917643e-06
Flow Packets/s,2.3782660961151123,4.738149513933116e-06
Bwd IAT Max,2.34969425201416,4.681226670244498e-06
Active Mean,2.3246450424194336,4.631321867556718e-06
Bwd IAT Mean,1.8398107290267944,3.6654007411983494e-06
Bwd IAT Min,1.8001744747161865,3.5864345988466963e-06
Packet Length Mean,0.5758056640625,1.1471606695963332e-06
Active Max,0.5230636596679688,1.0420843272585197e-06
Active Min,0.28632354736328125,5.704339724570805e-07
Fwd Packet Length Min,0.0,0.0
Total Fwd Packets,0.0,0.0
Min Packet Length,0.0,0.0
Max Packet Length,0.0,0.0
Subflow Fwd Bytes,0.0,0.0
PSH Flag Count,0.0,0.0
Packet Length Variance,0.0,0.0
min_seg_size_forward,0.0,0.0
