window_id,scenario,n,replacement,novel_recall,known_recall,overall_attack_recall,mixture_reconstructed_recall
S2_r25_n500_s42,S2_r25,500,0.25,0.026315789473684202,1.0,0.7533333333333333,0.7533333333333333
S2_r25_n500_s123,S2_r25,500,0.25,0.052631578947368404,1.0,0.76,0.76
S2_r25_n500_s456,S2_r25,500,0.25,0.026315789473684202,1.0,0.7533333333333333,0.7533333333333333
S2_r25_n500_s789,S2_r25,500,0.25,0.0,1.0,0.7466666666666667,0.7466666666666667
S2_r25_n500_s1024,S2_r25,500,0.25,0.0,1.0,0.7466666666666667,0.7466666666666667
S2_r25_n1000_s42,S2_r25,1000,0.25,0.0,1.0,0.75,0.75
S2_r25_n1000_s123,S2_r25,1000,0.25,0.013333333333333334,1.0,0.7533333333333333,0.7533333333333333
S2_r25_n1000_s456,S2_r25,1000,0.25,0.013333333333333334,1.0,0.7533333333333333,0.7533333333333333
S2_r25_n1000_s789,S2_r25,1000,0.25,0.0,1.0,0.75,0.75
S2_r25_n1000_s1024,S2_r25,1000,0.25,0.04,1.0,0.76,0.76
S2_r50_n500_s42,S2_r50,500,0.5,0.013333333333333334,1.0,0.5066666666666667,0.5066666666666667
S2_r50_n500_s123,S2_r50,500,0.5,0.0,1.0,0.5,0.5
S2_r50_n500_s456,S2_r50,500,0.5,0.0,1.0,0.5,0.5
S2_r50_n500_s789,S2_r50,500,0.5,0.013333333333333334,1.0,0.5066666666666667,0.5066666666666667
S2_r50_n500_s1024,S2_r50,500,0.5,0.02666666666666667,1.0,0.5133333333333333,0.5133333333333333
S2_r50_n1000_s42,S2_r50,1000,0.5,0.013333333333333334,1.0,0.5066666666666667,0.5066666666666667
S2_r50_n1000_s123,S2_r50,1000,0.5,0.013333333333333334,1.0,0.5066666666666667,0.5066666666666667
S2_r50_n1000_s456,S2_r50,1000,0.5,0.03333333333333333,1.0,0.5166666666666667,0.5166666666666667
S2_r50_n1000_s789,S2_r50,1000,0.5,0.013333333333333334,1.0,0.5066666666666667,0.5066666666666667
S2_r50_n1000_s1024,S2_r50,1000,0.5,0.006666666666666667,1.0,0.5033333333333333,0.5033333333333333
S2_r100_n500_s42,S2_r100,500,1.0,0.02,,0.02,0.02
S2_r100_n500_s123,S2_r100,500,1.0,0.013333333333333334,,0.0133333333333333,0.013333333333333334
S2_r100_n500_s456,S2_r100,500,1.0,0.013333333333333334,,0.0133333333333333,0.013333333333333334
S2_r100_n500_s789,S2_r100,500,1.0,0.013333333333333334,,0.0133333333333333,0.013333333333333334
S2_r100_n500_s1024,S2_r100,500,1.0,0.013333333333333334,,0.0133333333333333,0.013333333333333334
S2_r100_n1000_s42,S2_r100,1000,1.0,0.01,,0.01,0.01
S2_r100_n1000_s123,S2_r100,1000,1.0,0.0033333333333333335,,0.0033333333333333,0.0033333333333333335
S2_r100_n1000_s456,S2_r100,1000,1.0,0.02,,0.02,0.02
S2_r100_n1000_s789,S2_r100,1000,1.0,0.0033333333333333335,,0.0033333333333333,0.0033333333333333335
S2_r100_n1000_s1024,S2_r100,1000,1.0,0.013333333333333334,,0.0133333333333333,0.013333333333333334
