scenario,n,label,appearances,unique_rows
S0,500,BENIGN,10500,8209
S0,500,DDoS,4500,3624
S0,1000,BENIGN,21000,13118
S0,1000,DDoS,9000,5956
S1_a15,500,BENIGN,2125,2040
S1_a15,500,DDoS,375,370
S1_a15,1000,BENIGN,4250,3922
S1_a15,1000,DDoS,750,732
S1_a50,500,BENIGN,1250,1228
S1_a50,500,DDoS,1250,1181
S1_a50,1000,BENIGN,2500,2393
S1_a50,1000,DDoS,2500,2245
S1_a85,500,BENIGN,375,372
S1_a85,500,DDoS,2125,1950
S1_a85,1000,BENIGN,750,737
S1_a85,1000,DDoS,4250,3546
S2_r100,500,BENIGN,1750,1685
S2_r100,500,BruteForce,250,237
S2_r100,500,PortScan,250,249
S2_r100,500,WebAttacks,250,188
S2_r100,1000,BENIGN,3500,3275
S2_r100,1000,BruteForce,500,444
S2_r100,1000,PortScan,500,485
S2_r100,1000,WebAttacks,500,276
S2_r25,500,BENIGN,1750,1685
S2_r25,500,BruteForce,65,64
S2_r25,500,DDoS,560,541
S2_r25,500,PortScan,65,65
S2_r25,500,WebAttacks,60,56
S2_r25,1000,BENIGN,3500,3275
S2_r25,1000,BruteForce,125,120
S2_r25,1000,DDoS,1125,1071
S2_r25,1000,PortScan,125,124
S2_r25,1000,WebAttacks,125,100
S2_r50,500,BENIGN,1750,1685
S2_r50,500,BruteForce,125,120
S2_r50,500,DDoS,375,369
S2_r50,500,PortScan,125,123
S2_r50,500,WebAttacks,125,108
S2_r50,1000,BENIGN,3500,3275
S2_r50,1000,BruteForce,250,233
S2_r50,1000,DDoS,750,723
S2_r50,1000,PortScan,250,248
S2_r50,1000,WebAttacks,250,190
