scenario,n,windows,drift_mean,drift_std,ks_mean,macro_f1_mean,macro_f1_std,recall_mean,recall_std,fpr_mean,fpr_std
S0,500,5,0.0,0.0,0.02956461538461534,1.0,0.0,1.0,0.0,0.0,0.0
S0,1000,5,0.0,0.0,0.02272692307692302,1.0,0.0,1.0,0.0,0.0,0.0
S1_a15,500,5,0.6653846153846155,0.1067264378885508,0.07795153846153839,1.0,0.0,1.0,0.0,0.0,0.0
S1_a15,1000,5,0.7423076923076923,0.058645964161449626,0.06916153846153841,1.0,0.0,1.0,0.0,0.0,0.0
S1_a50,500,5,0.7538461538461538,0.036991123195521815,0.10001615384615381,1.0,0.0,1.0,0.0,0.0,0.0
S1_a50,1000,5,0.85,0.07740235306730046,0.0956115384615384,1.0,0.0,1.0,0.0,0.0,0.0
S1_a85,500,5,0.9807692307692308,0.0,0.2562907692307692,1.0,0.0,1.0,0.0,0.0,0.0
S1_a85,1000,5,0.9807692307692308,0.0,0.25452153846153847,0.9992156788263118,0.0010739827420786026,0.999764705882353,0.0005261336417646278,0.00133333333333332,0.00298142396999969
S2_r100,500,5,0.9807692307692308,0.0,0.14648923076923076,0.42728119176138113,0.0031024279715473964,0.014666666666666639,0.0029814239699997346,0.0,0.0
S2_r100,1000,5,0.9807692307692308,0.0,0.14443769230769227,0.42235539916291087,0.007432878501118337,0.009999999999999981,0.007071067811865487,0.0,0.0
S2_r25,500,5,0.06538461538461539,0.13570983664905653,0.04885538461538458,0.9039890077546231,0.0023544096353034006,0.752,0.005577733510227149,0.0,0.0
S2_r25,1000,5,0.16538461538461532,0.20196885927870964,0.04160076923076918,0.9045538242265868,0.0017203432764347766,0.7533333333333333,0.004082482904638596,0.0,0.0
S2_r50,500,5,0.6115384615384615,0.16283817792320426,0.07964307692307689,0.7877680058792902,0.002947426818820053,0.5053333333333334,0.0055777335102271475,0.0,0.0
S2_r50,1000,5,0.8653846153846153,0.0732285875563838,0.07443538461538458,0.7891776927090983,0.002658948124246691,0.508,0.005055250296034381,0.0,0.0
