file_a,file_b,shared_unique_feature_rows
drift_bruteforce.csv,drift_portscan.csv,0
drift_bruteforce.csv,drift_webattacks.csv,0
drift_bruteforce.csv,portscan.csv,0
drift_bruteforce.csv,reference_100rows.csv,3
drift_bruteforce.csv,reference_data.csv,8150
drift_bruteforce.csv,test_data.csv,0
drift_bruteforce.csv,train_2_classes.csv,0
drift_bruteforce.csv,train_3_classes.csv,0
drift_bruteforce.csv,train_4_classes.csv,8150
drift_bruteforce.csv,train_5_classes.csv,8150
drift_portscan.csv,drift_webattacks.csv,0
drift_portscan.csv,portscan.csv,50000
drift_portscan.csv,reference_100rows.csv,21
drift_portscan.csv,reference_data.csv,50000
drift_portscan.csv,test_data.csv,0
drift_portscan.csv,train_2_classes.csv,10
drift_portscan.csv,train_3_classes.csv,50000
drift_portscan.csv,train_4_classes.csv,50000
drift_portscan.csv,train_5_classes.csv,50000
drift_webattacks.csv,portscan.csv,0
drift_webattacks.csv,reference_100rows.csv,0
drift_webattacks.csv,reference_data.csv,1715
drift_webattacks.csv,test_data.csv,0
drift_webattacks.csv,train_2_classes.csv,0
drift_webattacks.csv,train_3_classes.csv,0
drift_webattacks.csv,train_4_classes.csv,0
drift_webattacks.csv,train_5_classes.csv,1715
portscan.csv,reference_100rows.csv,21
portscan.csv,reference_data.csv,50000
portscan.csv,test_data.csv,0
portscan.csv,train_2_classes.csv,10
portscan.csv,train_3_classes.csv,50000
portscan.csv,train_4_classes.csv,50000
portscan.csv,train_5_classes.csv,50000
reference_100rows.csv,reference_data.csv,100
reference_100rows.csv,test_data.csv,0
reference_100rows.csv,train_2_classes.csv,76
reference_100rows.csv,train_3_classes.csv,97
reference_100rows.csv,train_4_classes.csv,100
reference_100rows.csv,train_5_classes.csv,100
reference_data.csv,test_data.csv,0
reference_data.csv,train_2_classes.csv,149999
reference_data.csv,train_3_classes.csv,199989
reference_data.csv,train_4_classes.csv,208139
reference_data.csv,train_5_classes.csv,209854
test_data.csv,train_2_classes.csv,0
test_data.csv,train_3_classes.csv,0
test_data.csv,train_4_classes.csv,0
test_data.csv,train_5_classes.csv,0
train_2_classes.csv,train_3_classes.csv,149999
train_2_classes.csv,train_4_classes.csv,149999
train_2_classes.csv,train_5_classes.csv,149999
train_3_classes.csv,train_4_classes.csv,199989
train_3_classes.csv,train_5_classes.csv,199989
train_4_classes.csv,train_5_classes.csv,208139
