scenario,n,threshold,windows,alerts_bh,alert_rate_bh,alert_rate_uncorrected
S0,500,0.1,30,0,0.0,0.0
S0,500,0.3,30,0,0.0,0.0
S0,500,0.5,30,0,0.0,0.0
S0,500,0.7,30,0,0.0,0.0
S0,1000,0.1,30,0,0.0,0.1
S0,1000,0.3,30,0,0.0,0.0
S0,1000,0.5,30,0,0.0,0.0
S0,1000,0.7,30,0,0.0,0.0
S1_a15,500,0.1,5,5,1.0,1.0
S1_a15,500,0.3,5,5,1.0,1.0
S1_a15,500,0.5,5,5,1.0,1.0
S1_a15,500,0.7,5,3,0.6,0.6
S1_a15,1000,0.1,5,5,1.0,1.0
S1_a15,1000,0.3,5,5,1.0,1.0
S1_a15,1000,0.5,5,5,1.0,1.0
S1_a15,1000,0.7,5,3,0.6,1.0
S1_a50,500,0.1,5,5,1.0,1.0
S1_a50,500,0.3,5,5,1.0,1.0
S1_a50,500,0.5,5,5,1.0,1.0
S1_a50,500,0.7,5,4,0.8,0.8
S1_a50,1000,0.1,5,5,1.0,1.0
S1_a50,1000,0.3,5,5,1.0,1.0
S1_a50,1000,0.5,5,5,1.0,1.0
S1_a50,1000,0.7,5,5,1.0,1.0
S1_a85,500,0.1,5,5,1.0,1.0
S1_a85,500,0.3,5,5,1.0,1.0
S1_a85,500,0.5,5,5,1.0,1.0
S1_a85,500,0.7,5,5,1.0,1.0
S1_a85,1000,0.1,5,5,1.0,1.0
S1_a85,1000,0.3,5,5,1.0,1.0
S1_a85,1000,0.5,5,5,1.0,1.0
S1_a85,1000,0.7,5,5,1.0,1.0
S2_r100,500,0.1,5,5,1.0,1.0
S2_r100,500,0.3,5,5,1.0,1.0
S2_r100,500,0.5,5,5,1.0,1.0
S2_r100,500,0.7,5,5,1.0,1.0
S2_r100,1000,0.1,5,5,1.0,1.0
S2_r100,1000,0.3,5,5,1.0,1.0
S2_r100,1000,0.5,5,5,1.0,1.0
S2_r100,1000,0.7,5,5,1.0,1.0
S2_r25,500,0.1,5,1,0.2,0.6
S2_r25,500,0.3,5,1,0.2,0.4
S2_r25,500,0.5,5,0,0.0,0.0
S2_r25,500,0.7,5,0,0.0,0.0
S2_r25,1000,0.1,5,2,0.4,1.0
S2_r25,1000,0.3,5,1,0.2,1.0
S2_r25,1000,0.5,5,1,0.2,0.2
S2_r25,1000,0.7,5,0,0.0,0.0
S2_r50,500,0.1,5,5,1.0,1.0
S2_r50,500,0.3,5,5,1.0,1.0
S2_r50,500,0.5,5,4,0.8,0.8
S2_r50,500,0.7,5,1,0.2,0.6
S2_r50,1000,0.1,5,5,1.0,1.0
S2_r50,1000,0.3,5,5,1.0,1.0
S2_r50,1000,0.5,5,5,1.0,1.0
S2_r50,1000,0.7,5,5,1.0,1.0
