window_id,scenario,seed,n,attack_fraction,novel_replacement,drift_share,uncorrected_drift_share,mean_ks,max_ks,macro_f1,attack_recall,benign_fpr,roc_auc,tn,fp,fn,tp,n_BENIGN,recall_BENIGN,n_DDoS,recall_DDoS,n_PortScan,recall_PortScan,n_BruteForce,recall_BruteForce,n_WebAttacks,recall_WebAttacks
S0_n500_s42,S0,42,500,0.3,0.0,0.0,0.0,0.032346153846153844,0.052999999999999936,1.0,1.0,0.0,0.9999999999999999,350,0,0,150,350,1.0,150,1.0,0,,0,,0,
S0_n500_s123,S0,123,500,0.3,0.0,0.0,0.0,0.027580769230769235,0.046999999999999986,1.0,1.0,0.0,1.0,350,0,0,150,350,1.0,150,1.0,0,,0,,0,
S0_n500_s456,S0,456,500,0.3,0.0,0.0,0.0,0.03293846153846154,0.060799999999999965,1.0,1.0,0.0,1.0,350,0,0,150,350,1.0,150,1.0,0,,0,,0,
S0_n500_s789,S0,789,500,0.3,0.0,0.0,0.0,0.026773076923076913,0.04159999999999997,1.0,1.0,0.0,1.0,350,0,0,150,350,1.0,150,1.0,0,,0,,0,
S0_n500_s1024,S0,1024,500,0.3,0.0,0.0,0.0,0.02818461538461538,0.043399999999999994,1.0,1.0,0.0,1.0,350,0,0,150,350,1.0,150,1.0,0,,0,,0,
S0_n500_s2000,S0,2000,500,0.3,0.0,0.0,0.0,0.029846153846153838,0.04420000000000002,0.9976235628496333,1.0,0.002857142857142857,1.0,349,1,0,150,350,0.9971428571428571,150,1.0,0,,0,,0,
S0_n500_s2001,S0,2001,500,0.3,0.0,0.0,0.0,0.02297307692307693,0.04679999999999995,1.0,1.0,0.0,1.0,350,0,0,150,350,1.0,150,1.0,0,,0,,0,
S0_n500_s2002,S0,2002,500,0.3,0.0,0.0,0.0,0.024349999999999986,0.04159999999999997,1.0,1.0,0.0,1.0,350,0,0,150,350,1.0,150,1.0,0,,0,,0,
S0_n500_s2003,S0,2003,500,0.3,0.0,0.0,0.0,0.03263076923076923,0.049799999999999955,1.0,1.0,0.0,1.0,350,0,0,150,350,1.0,150,1.0,0,,0,,0,
S0_n500_s2004,S0,2004,500,0.3,0.0,0.0,0.0,0.024788461538461537,0.06099999999999994,0.9976235628496333,1.0,0.002857142857142857,1.0,349,1,0,150,350,0.9971428571428571,150,1.0,0,,0,,0,
